Estimate,Std. Error,t value,Pr(>|t|),FinalPos
4.0609844412678507e-4,0.04136601918200731,0.009817199047846085,0.9921712734294725,`finalposition_1-1-F`
-0.0058241188023376135,0.040125246348277036,-0.14514848710923114,0.8846554657541887,`finalposition_1-1-G`
-0.17001520034297632,0.14244456056819704,-1.193553475575359,0.23325096561275474,`finalposition_1-1-G-F`
-0.002929308527782223,0.03761398046717373,-0.07787818495675228,0.9379578853485293,`finalposition_1-2-F`
0.0067305840505260195,0.02546287607359653,0.26432929379510395,0.7916413231130331,`finalposition_1-2-G`
-0.0724405294123584,0.09646691822968968,-0.750936494518007,0.45306429635477496,`finalposition_1-2-G-F`
-0.05542716867283862,0.1630396522756109,-0.33996127873936816,0.7340366002184304,`finalposition_1-3-F`
-0.06216855796532678,0.0306145396369499,-2.030687336885285,0.04284557583619567,`finalposition_1-3-G`
0.019590428485950384,0.1309611418288232,0.14958962797954722,0.8811521528315581,`finalposition_1-3-G-F`
-0.0942466451588514,0.17359816769391836,-0.5429011516125185,0.5874535875090168,`finalposition_1-4-C`
-0.0032110257289629193,0.03713147675901255,-0.08647718887678064,0.9311236833388353,`finalposition_1-4-F`
-0.009398539760935753,0.13091490613256482,-0.0717912118534368,0.9427984117703316,`finalposition_1-4-G-F`
0.01880079688789113,0.06438047104412406,0.29202639531801095,0.7703944814110757,`finalposition_1-5-G`
0.09070801472958835,0.04318950298287692,2.1002328914400983,0.03623729846362412,`finalposition_1-6-F`
-0.009758042031274308,0.020031307715247228,-0.48713954026310424,0.6263851196641427,`finalposition_1-6-G`
-0.017781511509203974,0.135012481624773,-0.13170272329800137,0.8952754328419157,`finalposition_1-6-G-F`
-6.487038831808048e-4,0.024796682710548437,-0.02616091397196642,0.9791400246304792,`finalposition_1-7-F`
-0.01612168762294246,0.01718054135386649,-0.9383690124126541,0.3485337092861521,`finalposition_1-7-G`
0.02571882034172579,0.06403311832362821,0.40164872514471234,0.6881239730175077,`finalposition_1-7-G-F`
-0.015185939762846344,0.04768598022212828,-0.31845711658034526,0.7502787827793975,`finalposition_1-8-C`
-0.011424014695904872,0.013666127822216054,-0.8359364733391167,0.4036127187526938,`finalposition_1-8-F`
0.06158679017478996,0.14785728748295945,0.4165286082492744,0.6772121841757108,`finalposition_1-8-F-C`
-0.07313128216989093,0.038273063494907056,-1.9107768098997981,0.056637521381179494,`finalposition_1-8-G`
0.010605532842826391,0.05175190987054303,0.20493026961432037,0.8377147616202882,`finalposition_1-8-G-F`
-0.012458879658646498,0.055989677882613255,-0.22252100976125483,0.82400437200737775,`finalposition_1-9-F`
0.002768832559471987,0.10393028305794069,0.02664124909511095,0.9787571089209867,`finalposition_1-9-G`
-0.009448157998878019,0.1476111363367576,-0.06400708126332114,0.9489916290154374,`finalposition_2-1-C`
-0.002159330686444389,0.03360909253321689,-0.06424840790658827,0.9487995760944485,`finalposition_2-1-F`
-0.014378670682066637,0.06385946183178566,-0.22516116280375137,0.8219511450829465,`finalposition_2-1-G`
-0.13241691811497006,0.15231512541273973,-0.8693615801854871,0.38509031815699313,`finalposition_2-1-G-F`
0.03209080210463267,0.03239369510575701,0.9906496310428474,0.322363188361219,`finalposition_2-2-F`
-0.015803962739635618,0.0721072341717736,-0.21917305414859586,0.8266097885218048,`finalposition_2-2-G`
-0.012330273688166766,0.10045758905413033,-0.12274108710216756,0.9023642603355552,`finalposition_2-2-G-F`
0.019843084759491796,0.021307442244128897,0.9312748349680219,0.3521864889343628,`finalposition_2-4-C`
0.03127584329180665,0.013262326821480132,2.358247064244503,0.018767470340882022,`finalposition_2-4-F`
-0.04157332571739132,0.06203154029079859,-0.6701965729449745,0.5030595540031406,`finalposition_2-4-F-C`
-0.00602135034712736,0.10644807011388095,-0.056566082792159224,0.9549147397637456,`finalposition_2-4-G`
-0.012903316217880196,0.1282777608234835,-0.10058887943667644,0.9199194462872458,`finalposition_2-5-F`
-0.048022491310597944,0.10809064068892962,-0.4442798285265071,0.6570434776841297,`finalposition_2-5-G`
0.007594387149062768,0.13521489199668676,0.056165316089953,0.9552338280004707,`finalposition_2-6-G`
0.011326053115155362,0.1344723176572833,0.08422590844326033,0.9329124545614662,`finalposition_2-7-F`
-0.036010021957274506,0.05202879544510234,-0.6921171564556039,0.4892033698288736,`finalposition_2-8-C`
0.014594281412459359,0.02700263159790869,0.5404762628243116,0.5891230265673177,`finalposition_2-8-F`
0.012276824095643084,0.14299419967340718,0.08585539919579145,0.9316176963514857,`finalposition_2-8-F-C`
-0.0323176392003773,0.13378165636451267,-0.24157003343060698,0.8092180334824353,`finalposition_2-8-G`
0.004162900347950082,0.050008527093750525,0.08324381040349241,0.9336928947132386,`finalposition_2-9-C`
0.01644794900423803,0.013836188858946018,1.1887629730930809,0.235129423506271,`finalposition_2-9-F`
0.04392950746645841,0.09966972172560414,0.4407507787309631,0.659594799933152,`finalposition_2-9-F-C`
-0.03822773621478318,0.1351741069657375,-0.2828036897959514,0.777451042772569,`finalposition_2-9-G`
-0.027076819149955456,0.0969113518565279,-0.2793978066681109,0.7800616814411813,`finalposition_2-9-G-F`
-0.0018238511898249622,0.022854991575653665,-0.07980100031048902,0.9364292796610901,`finalposition_3-1-F`
-0.007754319634294821,0.009821222419859391,-0.7895472989813256,0.43018780066024753,`finalposition_3-1-G`
-0.014755728173552123,0.03828927184657763,-0.3853750009317824,0.7001328459029807,`finalposition_3-1-G-F`
0.0372032168154819,0.035383920969113844,1.0514158916406153,0.2936044737818492,`finalposition_3-2-F`
