schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion,Round32TotalPred,Sweet16TotalPred,Elite8TotalPred,Final4TotalPred,FinalTotalPred,ChampionTotalPred,offanddef_round32pred,offanddef_sweet16pred,offanddef_elite8pred,offanddef_final4pred,offanddef_finalpred,offanddef_championpred
Cal Poly2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal Poly2018,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.412790413,0.036065687,-0.104212239,-0.124717158,-0.015814166,-0.021534423
Cal Poly2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal Poly2019,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.675520772,0.267550555,0.060162447,-0.035847289,0.04851629,0.002356697
Cal St. Bakersfield2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2011,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.341222918,0.089727878,-0.027922894,-0.05753692,0.003699739,0.009497947
Cal St. Bakersfield2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2012,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.454088048,0.321000913,0.012347756,-0.022496873,0.032803171,0.01488505
Cal St. Bakersfield2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2013,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.127312886,0.16419246,-0.036639857,-0.045742436,0.00762905,0.001914927
Cal St. Bakersfield2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.443953485,0.159573769,-0.046144747,-0.037105404,0.022108199,-0.015056245
Cal St. Bakersfield2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.042816469,-0.154732724,-0.19949181,-0.077066253,0.008319587,-0.028045408
Cal St. Bakersfield2016,0,0,0,0,0,0,1.135824012,0.412638172,0.203378012,0.057478731,0.060651633,0.020443059,0.888289906,0.328549307,0.203378012,0.057478731,0.060651633,0.020443059
Cal St. Bakersfield2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2017,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.956815278,0.361760769,0.293314988,0.130164383,0.074163755,0.039043342
Cal St. Bakersfield2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2018,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.595930974,0.061561449,0.031059291,7.74E-04,0.035248708,0.002912482
Cal St. Bakersfield2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield2019,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.299737173,0.122637623,-0.121371985,-0.097975873,-0.007107093,-0.016122229
Cal St. Fullerton2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2010,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.591063381,0.415405965,0.088674363,0.031737386,0.015597643,0.006837966
Cal St. Fullerton2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2011,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.226086543,0.088190146,-0.112889187,-0.069050721,-0.023191527,-0.018522297
Cal St. Fullerton2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2012,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.328696554,0.137195142,-0.011520014,-0.022195638,0.001320327,-0.016225149
Cal St. Fullerton2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2013,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.313071053,-0.16664416,-0.109104465,-0.134945428,-0.033781964,-0.017203826
Cal St. Fullerton2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.317355442,-0.274462583,-0.190044846,-0.163612503,-0.036146166,-0.031171162
Cal St. Fullerton2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.295839826,-0.149845675,-0.190769612,-0.187716531,-0.048533339,-0.047087845
Cal St. Fullerton2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2016,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.398366625,0.174677505,-0.020309417,-0.038421083,0.055199926,-0.017119168
Cal St. Fullerton2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2017,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.409723585,-0.139592731,-0.173112245,-0.215487084,-0.042067502,-0.005271867
Cal St. Fullerton2018,0,0,0,0,0,0,0.787132868,0.010094795,-0.122144871,-0.019311659,0.05450947,0.020291778,0.496974366,0.113015046,0.035064458,-0.061315465,0.022217531,0.020291778
Cal St. Fullerton2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton2019,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.376907513,0.201329068,-0.034694574,-0.069383871,0.005111426,-0.005285754
Cal St. Northridge2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2010,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.631221084,0.292150235,0.04611893,0.027825374,0.033013219,0.001445016
Cal St. Northridge2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2011,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,-0.051305282,-0.22411219,-0.25076835,-0.103059341,-0.023523138,-0.031338195
Cal St. Northridge2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2012,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.427338844,0.008998232,-0.158522556,-0.147336477,-0.035672142,0.001115427
Cal St. Northridge2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2013,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.433647533,-0.036095028,-0.115852929,-0.143088731,-0.028751702,0.015111088
Cal St. Northridge2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.770027827,0.479640396,0.302290186,0.104968632,0.065900922,0.017653155
Cal St. Northridge2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.719380567,0.568394817,0.276964734,0.077235727,0.057233397,0.012476567
Cal St. Northridge2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2016,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.635428901,-0.07127532,0.005100289,-0.105162514,-0.02850601,-0.029583718
Cal St. Northridge2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2017,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.203014406,0.017022609,-0.106065275,-0.079425883,-0.002338557,-0.011296728
Cal St. Northridge2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2018,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.081249669,0.137251633,-0.029488393,-0.017290591,0.009057577,-0.019869599
Cal St. Northridge2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Northridge2019,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.604028816,0.383066078,0.114984251,0.053045664,0.053583235,0.030618137
California2010,1,0,0,0,0,0,1.206593742,0.346504996,0.18965066,-0.087801825,0.064115571,-0.055912568,0.586839283,0.421895077,0.108381464,0.024918049,0.029025932,0.00625599
California2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California2011,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.458653299,0.296741951,0.055154001,0.00927593,0.028785351,0.018248644
California2012,0,0,0,0,0,0,1.225891406,0.91174011,0.462391278,0.232289898,0.143862571,0.037616043,0.891166257,0.716545184,0.378932325,0.197552912,0.108772932,0.037616043
California2013,1,0,0,0,0,0,1.560969626,1.139132619,0.68308052,0.374326538,0.223049334,0.072660312,1.089961956,0.837428194,0.442570278,0.235717699,0.141106999,0.041384469
California2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California2014,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.889741454,0.568767907,0.331049605,0.128696282,0.051340371,0.029450349
California2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California2015,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,0.532751474,0.36235349,0.048027006,-9.89E-04,0.041239975,0.008788922
