Estimate,Std. Error,t value,Pr(>|t|),FinalPos
0.05436963076377905,0.057860411073666594,0.9396689334708811,0.34786700952847804,`finalposition_1-1-F`
-0.026899657503587086,0.05612488931865328,-0.4792821479052236,0.6319594300454121,`finalposition_1-1-G`
-0.14181775590482237,0.19924326760619507,-0.7117819217115311,0.47695072886959433,`finalposition_1-1-G-F`
0.053947248487605896,0.05261227488126714,1.0253738050550267,0.30571093766728497,`finalposition_1-2-F`
0.012921982868100326,0.0356160081600734,0.3628139012666291,0.7169059746670086,`finalposition_1-2-G`
-0.04531834993880445,0.13493238300792124,-0.33585970193785153,0.7371255940710275,`finalposition_1-2-G-F`
0.03690268243919219,0.2280504986585161,0.16181803002522893,0.8715182527129355,`finalposition_1-3-F`
-0.06890383423290941,0.042821859179417034,-1.609080865550767,0.10826584622229903,`finalposition_1-3-G`
0.024733651335177485,0.18318092121826365,0.1350230753873481,0.8926510676951902,`finalposition_1-3-G-F`
-0.09000012819953913,0.24281914341843158,-0.37064675763413274,0.711066580946677,`finalposition_1-4-C`
-0.0028402357290920233,0.051937376415066225,-0.054685775931263926,0.9564118916473604,`finalposition_1-4-F`
-0.02671230545620623,0.18311624938266796,-0.14587621549840765,0.8840812536173381,`finalposition_1-4-G-F`
0.030115370438117618,0.09005170411344729,0.3344231043110325,0.7382085406701351,`finalposition_1-5-G`
0.06289249623883686,0.06041099545163787,1.0410769723068967,0.2983716619719477,`finalposition_1-6-F`
-0.019167644870813915,0.028018642394563423,-0.6841032695621646,0.4942449769981424,`finalposition_1-6-G`
0.05232846256103126,0.1888477025675002,0.27709345599440055,0.7818294001571001,`finalposition_1-6-G-F`
-0.022070332999601865,0.034684175157944024,-0.6363228446142506,0.5248738096451173,`finalposition_1-7-F`
-0.01887817707365627,0.024031154190327038,-0.7855709685910579,0.4325122019055849,`finalposition_1-7-G`
6.827641837887251e-4,0.08956584708410598,0.007623041661712658,0.9939209656508368,`finalposition_1-7-G-F`
-0.0353053964964145,0.06670040948255415,-0.5293130397595058,0.5968366332827426,`finalposition_1-8-C`
-0.02259001009341305,0.01911539445213598,-1.1817705436305455,0.23789054955783193,`finalposition_1-8-F`
0.16483280046549986,0.20681427904289323,0.7970088004963796,0.4258457999231867,`finalposition_1-8-F-C`
-0.09264986441741972,0.05353416235486079,-1.730668050865791,0.08416316714736578,`finalposition_1-8-G`
0.0016129986165000266,0.07238759827920331,0.02228280333709366,0.9822317632569122,`finalposition_1-8-G-F`
-0.02295251100363117,0.0783151447064861,-0.29307883027802456,0.7695904311963303,`finalposition_1-9-F`
0.022667888180225172,0.14537170894487725,0.15593053383461628,0.8761543024098171,`finalposition_1-9-G`
-0.04532239361344203,0.20646997696144737,-0.2195108183787164,0.8263468492404171,`finalposition_2-1-C`
-0.013085552944811271,0.04701046772783668,-0.2783540257580296,0.780862248306615,`finalposition_2-1-F`
-0.10625262968180485,0.08932294636021926,-1.1895334179115857,0.23482659288457977,`finalposition_2-1-G`
-0.1467421100404752,0.21304964662762468,-0.6887695537789648,0.4913059908736416,`finalposition_2-1-G-F`
0.029938201932705515,0.04531043963324804,0.660735189837738,0.5091038189350698,`finalposition_2-2-F`
-0.005761960375322892,0.10085945645885822,-0.05712860823985567,0.954466872346103,`finalposition_2-2-G`
0.006858538432255405,0.140514304085361,0.04881025086306454,0.9610911159222002,`finalposition_2-2-G-F`
0.020632323652626572,0.029803626057156463,0.6922756181767462,0.4891039610657434,`finalposition_2-4-C`
0.04685269593853293,0.01855058081145815,2.5256727223113895,0.011873214732715761,`finalposition_2-4-F`
-0.11282164690278752,0.0867661547263285,-1.3002955732986137,0.19413289833557923,`finalposition_2-4-F-C`
0.00565336072047477,0.14889344482697117,0.037969171356365156,0.9697282814339812,`finalposition_2-4-G`
-0.07223021872691336,0.17942756203344373,-0.4025592161445647,0.6874543846031164,`finalposition_2-5-F`
-0.08624314835958533,0.15119097817848023,-0.5704252290621183,0.5686601858597751,`finalposition_2-5-G`
-0.06964041466500236,0.18913082256686425,-0.3682129317678089,0.7128791962706368,`finalposition_2-6-G`
0.024484853571019583,0.18809215224324438,0.1301747748590558,0.8964834925322347,`finalposition_2-7-F`
-0.035785429995375456,0.07277488991328297,-0.4917277104509072,0.6231399577058636,`finalposition_2-8-C`
0.03298760693985656,0.03776972972553652,0.8733874237271358,0.3828951249818965,`finalposition_2-8-F`
-0.01819524905910353,0.20001207120872916,-0.09097075466067886,0.9275543402938577,`finalposition_2-8-F-C`
-0.023862693488035897,0.1871260949067492,-0.12752199793367902,0.8985814588352622,`finalposition_2-8-G`
-0.036736649908632776,0.06994905461175173,-0.5251915142032652,0.5996961497482957,`finalposition_2-9-C`
0.03508963849456908,0.019353266059977073,1.8131119773698108,0.07044826351059612,`finalposition_2-9-F`
0.029109542031772215,0.13941228053072643,0.20880184960001769,0.8346928151610882,`finalposition_2-9-F-C`
-0.09656174511304509,0.18907377480875165,-0.5107093525303412,0.6097928591763699,`finalposition_2-9-G`
-3.215068424808179e-4,0.1355540312315677,-0.0023717984596974915,0.9981085803624465,`finalposition_2-9-G-F`
-0.011594058361740616,0.03196824915237923,-0.3626741741931691,0.7170102932595706,`finalposition_3-1-F`
-0.006776322580191907,0.013737361672600756,-0.4932768563345988,0.6220459155195485,`finalposition_3-1-G`
-0.008267567041169077,0.05355683366597631,-0.1543699743851981,0.8773838710960037,`finalposition_3-1-G-F`
0.055326160071935776,0.04949299577662939,1.117858379832825,0.2641949231096853,`finalposition_3-2-F`
