schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion
Lamar2012,0,0,0,0,0,0
South Dakota St.2012,0,0,0,0,0,0
Western Kentucky2012,0,0,0,0,0,0
Mississippi Valley St.2012,0,0,0,0,0,0
New Mexico St.2012,0,0,0,0,0,0
Saint Mary's2012,0,0,0,0,0,0
Alabama2012,0,0,0,0,0,0
Baylor2012,1,1,1,0,0,0
BYU2012,0,0,0,0,0,0
California2012,0,0,0,0,0,0
Cincinnati2012,1,1,0,0,0,0
Colorado St.2012,0,0,0,0,0,0
Connecticut2012,0,0,0,0,0,0
Duke2012,0,0,0,0,0,0
Florida2012,1,1,1,0,0,0
Georgetown2012,1,0,0,0,0,0
Gonzaga2012,1,0,0,0,0,0
Indiana2012,1,1,0,0,0,0
Iona2012,0,0,0,0,0,0
Iowa St.2012,1,0,0,0,0,0
Kansas2012,1,1,1,1,1,0
Kansas St.2012,1,0,0,0,0,0
Kentucky2012,1,1,1,1,1,1
Marquette2012,1,1,0,0,0,0
Michigan2012,0,0,0,0,0,0
North Carolina St.2012,1,1,0,0,0,0
North Carolina2012,1,1,1,0,0,0
Notre Dame2012,0,0,0,0,0,0
Ohio St.2012,1,1,1,1,0,0
Purdue2012,1,0,0,0,0,0
Saint Louis2012,1,0,0,0,0,0
San Diego St.2012,0,0,0,0,0,0
South Florida2012,1,0,0,0,0,0
Southern Miss2012,0,0,0,0,0,0
Syracuse2012,1,1,1,0,0,0
Temple2012,0,0,0,0,0,0
Texas2012,0,0,0,0,0,0
UNLV2012,0,0,0,0,0,0
Virginia2012,0,0,0,0,0,0
West Virginia2012,0,0,0,0,0,0
Wichita St.2012,0,0,0,0,0,0
Wisconsin2012,1,1,0,0,0,0
Xavier2012,1,1,0,0,0,0
Harvard2013,1,0,0,0,0,0
Miami FL2013,1,1,0,0,0,0
Albany2013,0,0,0,0,0,0
Saint Louis2013,1,0,0,0,0,0
Florida Gulf Coast2013,1,1,0,0,0,0
Kansas2013,1,1,0,0,0,0
Louisville2013,1,1,1,1,1,1
Montana2013,0,0,0,0,0,0
